Timestamp,Site,Total_Energy_Consumption_MWh,Energy_Intensity_kWh_per_liter,Scope_1_Emissions_tonnes_CO2e,Scope_2_Emissions_tonnes_CO2e,Carbon_Intensity_kgCO2e_per_liter,On_Site_Renewable_Energy_Percentage,Boiler_Efficiency_Percentage,Water_Consumption_liters_per_liter,Waste_Heat_Recovery_Efficiency_Percentage,Fuel_Type_Gas_Usage_GJ,Logistics_Carbon_Footprint_kgCO2e_per_km
2024-01-01,Cameronbridge,1200.0,50.55154767051827,620.0,744.0,24.13506842535357,25.346818722664253,84.36698724215681,3.023810033210541,50.24484512656905,4743.0148507762615,98.75780144571166
2024-01-02,Cameronbridge,1220.33683215379,52.795981656468264,630.168416076895,754.168416076895,24.737036460973798,27.344138072163332,81.25363242457958,3.3099882958386218,53.40859577692483,4759.210565784537,97.87883978178863
2024-01-03,Cameronbridge,1237.1572412738697,53.82744017768363,638.5786206369348,762.5786206369348,22.849583945605566,25.85581573262907,82.83608783723156,3.4987132560779943,53.12651640556493,4796.420737095023,99.83962512801388
2024-01-04,Cameronbridge,1247.5528258147576,54.34976666333413,643.7764129073788,767.7764129073788,24.67216223531453,27.70759624675437,83.70380931038733,3.3688775255878807,56.61248599668598,4741.141220409244,92.28029782940166
2024-01-05,Cameronbridge,1249.7260947684138,52.23784945912344,644.8630473842069,768.8630473842069,23.64624338951584,26.709127621128374,83.72831869121968,3.4950448696506307,56.10617827591655,4752.484949181979,99.77695918000501
2024-01-06,Cameronbridge,1243.301270189222,52.473931671906406,641.650635094611,765.650635094611,22.99872968213769,24.39314296219669,78.6687656354103,3.4148190459469467,50.32930228451983,4769.30580628282,96.03359475503515
2024-01-07,Cameronbridge,1229.3892626146237,51.94761005452531,634.6946313073119,758.6946313073119,24.062627051784204,22.3843935564727,78.82678068868721,3.145458558029194,58.0791463607201,4786.768081137885,94.94457311681676
2024-01-08,Cameronbridge,1210.395584540888,53.561508005323795,625.197792270444,749.197792270444,24.012750704369683,22.567205035605937,83.9385331357498,3.4641258264747394,59.53606654081126,4802.191373621759,91.69226471160168
2024-01-09,Cameronbridge,1189.604415459112,51.08465712305448,614.802207729556,738.802207729556,24.708170104986145,26.225884011722215,77.3280824409355,3.2073080999303194,56.76810971607109,4869.490459287197,96.92418390371469
2024-01-10,Cameronbridge,1170.6107373853763,51.08745723983258,605.3053686926881,729.3053686926881,23.754262017468825,24.847088159418472,76.66098246478163,3.4929814825914014,57.48080794023217,4712.697579609686,97.36690954285352
2024-01-11,Cameronbridge,1156.698729810778,50.05832231391063,598.349364905389,722.349364905389,22.289767376223324,25.44951204055028,75.12542695592839,3.3769598668340763,52.77616929051675,4733.372912348264,98.96706444224105
2024-01-12,Cameronbridge,1150.2739052315862,51.67402867254144,595.1369526157931,719.1369526157931,24.688430489160023,25.09316980457216,82.16398753342975,3.422950839320717,58.99403296416078,4796.257366830666,90.08846578827313
2024-01-13,Cameronbridge,1152.4471741852424,54.747782739501716,596.2235870926212,720.2235870926212,23.812493343024812,24.432769718457692,83.47904141735054,3.1746581172081068,51.550606497387385,4873.826107446646,93.1508552451155
2024-01-14,Cameronbridge,1162.8427587261303,54.92606575329058,601.4213793630652,725.4213793630652,22.647480985084947,22.489339802775618,78.57332024832525,3.0253882070833042,58.2751880095954,4848.605470038481,91.06443615796641
